n_topics,coherence_cv
5,0.6362073958332236
10,0.6756926431202473
15,0.646245266270116
20,0.6539617926328829
25,0.6466362497025557
30,0.6454868016298451
35,0.6294679023587054
40,0.6256732981538518
45,0.625203558598682
50,0.6052801273574883
