n_topics,coherence_cv
5,0.6153899511414715
10,0.6837703100051467
15,0.6800690293628342
20,0.7034038323798031
25,0.6937984605955932
30,0.6857849664773172
35,0.6872077276951973
40,0.6858941818774389
45,0.6803443116439791
50,0.6753611797816602
